Age,Gender,Nationality,Living Status,Home Town,Relationship Status,Faculty,Education Level,Years of Study,Completed Credit Hours,CGPA,Number of Subjects Failed,SPM Result (A),SPM Result (B),SPM Result (C),Scholarship,PTPTN,Reason Study at Multimedia University,Lecture Class Capacity,Tutorial Class Capacity,Skipping Class,Classroom Facilities,Campus Environment,Additional Course,Family Size,Parent's Education Level.Father,Parent's Education Level.Mother,Father's Occupation,Mother's Occupation,Financial Difficulties,Financial Support,Study Behavior,Study Time,Extra Curricular Activities,Part-time Job,Commute Time,Gaming,Alcohol Consumption,I have enough free time after class,Social Interaction,I hang out with friends
21 - 23,Female,Malaysian,Friend or Roommate,Rural,No,FCI,Bachelor's,3,71 - 100,Good,1 - 2,4,6,0,No,Yes,Course preference,Medium,Medium,Sometimes,Moderate,Moderate,Yes,MT3,Secondary,Secondary,Self-employed,Unemployed,No,Yes,Alone,Less than 2,Yes,No,Less than 10,Non-gamer,Less,4,3,3
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FOB,Diploma,4,Less than 40,Very Good,0,1,4,3,No,No,University reputation,Large,Large,Less,Good,Moderate,No,MT3,None,Primary,Self-employed,Account,No,Yes,Alone,Less than 2,Yes,No,Less than 10,Moderate,Non-drinker,4,1,1
18 - 20,Male,Malaysian,Friend or Roommate,Urban,No,FCI,Foundation,Less than 1,Less than 40,Very Good,0,8,1,0,No,No,Cheap tution fee,Medium,Medium,Less,Moderate,Moderate,No,MT3,Secondary,Higher,Self-employed,Finance and banking,No,No,Alone,Less than 2,Yes,No,Less than 10,Heavy,Non-drinker,4,4,4
21 - 23,Male,Malaysian,Friend or Roommate,Urban,No,FIST,Diploma,2,40 - 70 ,Very Good,0,4,1,3,No,Yes,Course preference,Medium,Medium,None,Good,Good,No,LE3,Secondary,Secondary,Self-employed,Unemployed,No,Yes,Alone,Less than 2,No,No,Less than 10,Non-gamer,Non-drinker,4,1,1
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FCM,Bachelor's,2,40 - 70 ,Good,0,2,3,2,No,Yes,Course preference,Medium,Small,Less,Moderate,Poor,No,MT3,Higher,Higher,Self-employed,Unemployed,No,Yes,Alone,Less than 2,Yes,No,Less than 10,Moderate,Non-drinker,3,3,2
21 - 23,Female,Malaysian,Friend or Roommate,Rural,No,FCM,Bachelor's,4,More than 100,Good,0,7,2,1,Yes,Yes,Course preference,Medium,Medium,None,Moderate,Moderate,No,LE3,Primary,Secondary,Self-employed,Unemployed,No,Yes,Alone,More than 8,Yes,No,10 - 30,Moderate,Sometimes,1,3,3
18 - 20,Male,Malaysian,Friend or Roommate,Urban,Yes,FIST,Bachelor's,2,Less than 40,Very Good,0,1,3,2,No,Yes,Close to home,Extra large,Large,None,Moderate,Moderate,Yes,MT3,Higher,Higher,Healthcare,Unemployed,Yes,Yes,Alone,2 - 5,Yes,No,Less than 10,Light,Less,3,4,4
27 or above,Male,Malaysian,Family,Urban,No,FCM,Bachelor's,More than 4,More than 100,Average,More than 4,3,5,1,No,No,Course preference,Small,Medium,Less,Moderate,Moderate,No,MT3,Secondary,Secondary,Unemployed,Unemployed,Yes,Yes,Group,Less than 2,Yes,Yes,30 - 60,Moderate,Non-drinker,2,4,4
24 - 26,Female,Malaysian,Friend or Roommate,Urban,No,FCM,Bachelor's,3,More than 100,Average,1 - 2,1,2,3,No,No,Course preference,Large,Small,Less,Moderate,Moderate,No,MT3,Higher,Higher,Unemployed,Unemployed,Yes,Yes,Group,2 - 5,No,Yes,Less than 10,Non-gamer,Non-drinker,2,3,3
18 - 20,Male,Malaysian,Family,Urban,No,FIST,Diploma,2,40 - 70 ,Average,1 - 2,2,3,3,No,No,Close to home,Small,Small,Sometimes,Moderate,Moderate,No,MT3,Higher,Higher,Glove Chemicals ,Finance and banking,No,Yes,Alone,Less than 2,No,No,Less than 10,Light,Non-drinker,2,1,3
18 - 20,Male,Malaysian,Friend or Roommate,Urban,No,FCM,Foundation,Less than 1,Less than 40,Low,1 - 2,5,5,0,No,No,Course preference,Medium,Medium,Less,Good,Good,No,MT3,Higher,Higher,Finance and banking,Civil servant,No,Yes,Group,2 - 5,Yes,No,Less than 10,Light,Less,3,4,5
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FCI,Bachelor's,Less than 1,Less than 40,Very Good,0,3,3,2,No,No,Close to home,Large,Medium,Sometimes,Moderate,Moderate,No,MT3,Higher,Higher,Finance and banking,Civil servant,No,Yes,Alone,Less than 2,Yes,Yes,Less than 10,Moderate,Non-drinker,4,4,4
