Age,Gender,Nationality,Living Status,Home Town,Relationship Status,Faculty,Education Level,Years of Study,Completed Credit Hours,CGPA,Number of Subjects Failed,SPM Result (A),SPM Result (B),SPM Result (C),Scholarship,PTPTN,Reason Study at Multimedia University,Lecture Class Capacity,Tutorial Class Capacity,Skipping Class,Classroom Facilities,Campus Environment,Additional Course,Family Size,Parent's Education Level.Father,Parent's Education Level.Mother,Father's Occupation,Mother's Occupation,Financial Difficulties,Financial Support,Study Behavior,Study Time,Extra Curricular Activities,Part-time Job,Commute Time,Gaming,Alcohol Consumption,I have enough free time after class,Social Interaction,I hang out with friends
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FOL,Bachelor's,3,40 - 70 ,Good,0,5,3,2,No,No,Course preference,Large,Medium,None,Moderate,Good,No,MT3,Higher,Higher,Self-employed,Civil servant,No,No,Alone,5 - 8,Yes,No,Less than 10,Light,Non-drinker,3,5,4
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FOB,Foundation,Less than 1,40 - 70 ,Average,0,5,3,0,No,Yes,Course preference,Medium,Small,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Finance and banking,Yes,Yes,Alone,2 - 5,No,No,Less than 10,Moderate,Less,4,1,2
18 - 20,Male,Malaysian,Friend or Roommate,Urban,No,FCI,Bachelor's,1,Less than 40,Very Good,0,5,5,0,Yes,Yes,Course preference,Large,Medium,None,Moderate,Moderate,Yes,LE3,Secondary,Secondary,Self-employed,Civil servant,Yes,Yes,Alone,2 - 5,Yes,No,10 - 30,Non-gamer,Non-drinker,4,2,1
21 - 23,Female,Non-Malaysian,Friend or Roommate,Urban,No,FCM,Bachelor's,3,71 - 100,Good,0,0,0,0,No,No,Course preference,Medium,Medium,None,Moderate,Moderate,No,MT3,Higher,Higher,Education,Housewife ??,No,Yes,Alone,Less than 2,No,No,Less than 10,Non-gamer,Non-drinker,2,3,3
18 - 20,Female,Malaysian,Friend or Roommate,Urban,Yes,FCI,Bachelor's,Less than 1,Less than 40,Very Good,0,7,2,0,No,Yes,Course preference,Large,Large,None,Moderate,Moderate,No,MT3,Higher,Higher,Finance and banking,Healthcare,No,No,Alone,2 - 5,Yes,Yes,10 - 30,Non-gamer,Non-drinker,1,3,3
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FCM,Diploma,Less than 1,Less than 40,Very Good,0,2,1,4,No,Yes,Course preference,Small,Medium,Less,Good,Moderate,No,MT3,Higher,Higher,Property job,Retired,Yes,Yes,Group,2 - 5,No,No,10 - 30,Non-gamer,Non-drinker,1,3,4
18 - 20,Female,Malaysian,Family,Rural,No,FOM,Bachelor's,1,Less than 40,Good,0,6,1,2,No,Yes,Close to home,Medium,Medium,Less,Moderate,Good,No,MT3,Secondary,Higher,Self-employed,Healthcare,No,Yes,Alone,2 - 5,No,Yes,Less than 10,Light,Non-drinker,4,3,3
21 - 23,Male,Malaysian,Family,Urban,No,FIST,Bachelor's,3,40 - 70 ,Very Good,0,8,2,0,Yes,Yes,Close to home,Medium,Medium,Less,Moderate,Poor,No,MT3,Secondary,Secondary,Supervisor,Officer,No,Yes,Alone,2 - 5,Yes,No,30 - 60,Moderate,Non-drinker,3,3,5
24 - 26,Male,Malaysian,Family,Urban,Yes,FOM,Bachelor's,3,More than 100,Very Good,0,5,4,0,No,No,Course preference,Medium,Medium,Less,Good,Good,Yes,MT3,Higher,Higher,Engineer,Finance and banking,No,No,Alone,2 - 5,Yes,No,More than 60,Light,Non-drinker,4,5,4
24 - 26,Female,Malaysian,Family,Urban,Yes,FIST,Bachelor's,3,71 - 100,Good,0,0,4,4,No,Yes,Close to home,Extra large,Large,Less,Moderate,Good,No,MT3,Secondary,Higher,Education,Education,No,No,Group,2 - 5,No,No,10 - 30,Light,Non-drinker,3,3,1
24 - 26,Male,Malaysian,Family,Urban,Yes,FIST,Bachelor's,Less than 1,Less than 40,Good,0,11,0,0,No,No,Close to home,Large,Medium,Sometimes,Good,Good,Yes,MT3,Higher,Higher,Engineer,Self-employed,No,Yes,Alone,Less than 2,No,Yes,Less than 10,Moderate,Non-drinker,2,2,1
24 - 26,Male,Malaysian,Family,Urban,No,FCM,Bachelor's,3,71 - 100,Good,1 - 2,7,3,0,Yes,Yes,Close to home,Medium,Medium,Less,Good,Moderate,No,MT3,Higher,Higher,IT Manager,IT Manager,Yes,Yes,Group,2 - 5,Yes,No,30 - 60,Light,Non-drinker,4,4,4
24 - 26,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,2,40 - 70 ,Very Good,0,9,0,0,No,No,Close to home,Medium,Medium,Sometimes,Moderate,Moderate,Yes,MT3,Higher,Secondary,Civil servant,Unemployed,No,Yes,Alone,Less than 2,No,No,30 - 60,Light,Non-drinker,4,3,3
21 - 23,Male,Malaysian,Family,Urban,No,FCI,Diploma,2,71 - 100,Very Good,0,2,3,2,No,Yes,Close to home,Medium,Small,Less,Moderate,Moderate,Yes,MT3,Secondary,Secondary,Unemployed,Unemployed,No,No,Group,2 - 5,No,No,Less than 10,Moderate,Less,2,3,2
21 - 23,Female,Malaysian,Family,Urban,No,FCI,Bachelor's,3,71 - 100,Very Good,0,7,0,1,Yes,No,Close to home,Medium,Small,Less,Moderate,Good,Yes,MT3,Secondary,Secondary,Self-employed,Self-employed,Yes,Yes,Group,2 - 5,Yes,No,Less than 10,Light,Non-drinker,4,4,4
21 - 23,Male,Malaysian,Friend or Roommate,Rural,No,FOM,Bachelor's,3,71 - 100,Very Good,0,1,5,2,No,Yes,Course preference,Medium,Medium,None,Moderate,Good,No,MT3,Early,Early,Self-employed,Self-employed,No,Yes,Alone,2 - 5,No,No,10 - 30,Light,Non-drinker,3,3,4
18 - 20,Female,Malaysian,Alone,Urban,Yes,FCI,Diploma,Less than 1,Less than 40,Average,1 - 2,3,5,1,Yes,Yes,Course preference,Extra large,Large,None,Poor,Moderate,No,MT3,Higher,Primary,electrician,Unemployed,Yes,Yes,Alone,2 - 5,No,Yes,Less than 10,Light,Non-drinker,1,3,1
21 - 23,Male,Malaysian,Family,Urban,No,FIST,Bachelor's,1,Less than 40,Good,0,3,5,0,No,Yes,Close to home,Medium,Medium,None,Moderate,Poor,No,MT3,Primary,Secondary,JCV driver ,Factory worker,Yes,Yes,Alone,2 - 5,No,No,30 - 60,Light,Non-drinker,4,4,4
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FOB,Foundation,Less than 1,40 - 70 ,Average,0,2,4,1,No,No,Close to home,Medium,Medium,None,Moderate,Good,No,MT3,Primary,Early,Self-employed,Self-employed,No,Yes,Group,Less than 2,No,No,Less than 10,Moderate,Non-drinker,4,1,1
24 - 26,Female,Malaysian,Friend or Roommate,Urban,Yes,FOB,Bachelor's,3,More than 100,Very Good,0,8,3,0,No,Yes,University reputation,Small,Small,Less,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Self-employed,No,Yes,Alone,Less than 2,Yes,Yes,Less than 10,Moderate,Non-drinker,4,4,2
27 or above,Male,Malaysian,Family,Urban,No,FIST,Bachelor's,1,40 - 70 ,Very Good,0,4,3,2,No,Yes,Close to home,Medium,Small,None,Moderate,Moderate,Yes,MT3,Higher,Higher,Self-employed,Finance and banking,No,No,Group,2 - 5,Yes,Yes,30 - 60,Moderate,Sometimes,3,3,3
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FCM,Foundation,Less than 1,Less than 40,Very Good,0,6,1,2,No,Yes,Course preference,Medium,Medium,None,Good,Good,No,LE3,Higher,Higher,-,Sales person ,No,Yes,Alone,Less than 2,No,Yes,Less than 10,Heavy,Sometimes,4,3,3
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FCM,Bachelor's,Less than 1,Less than 40,Good,0,0,2,3,No,Yes,Course preference,Small,Small,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Retired person,Housewife,Yes,Yes,Alone,Less than 2,Yes,No,Less than 10,Heavy,Non-drinker,4,3,2
21 - 23,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,2,More than 100,Good,0,3,4,3,No,Yes,Close to home,Medium,Medium,Less,Moderate,Poor,Yes,MT3,Secondary,Higher,Unemployed,Finance and banking,Yes,Yes,Alone,Less than 2,Yes,No,10 - 30,Non-gamer,Non-drinker,4,3,3
24 - 26,Female,Malaysian,Friend or Roommate,Urban,Yes,FCM,Bachelor's,3,40 - 70 ,Very Good,0,0,0,0,No,Yes,University reputation,Medium,Medium,Sometimes,Good,Moderate,No,MT3,Higher,Higher,Self-employed,Self-employed,No,Yes,Group,2 - 5,No,No,Less than 10,Non-gamer,Non-drinker,3,3,3
18 - 20,Female,Malaysian,Family,Urban,Yes,FAC,Foundation,Less than 1,40 - 70 ,Very Good,0,2,4,0,No,Yes,Close to home,Medium,Large,Less,Moderate,Moderate,No,MT3,Secondary,Higher,Civil servant,Self-employed,No,Yes,Alone,2 - 5,No,No,Less than 10,Non-gamer,Non-drinker,3,2,3
21 - 23,Male,Malaysian,Friend or Roommate,Urban,No,FCM,Bachelor's,Less than 1,Less than 40,Average,1 - 2,0,2,3,No,No,Course preference,Medium,Large,Less,Moderate,Moderate,No,MT3,Higher,Higher,Civil servant,Civil servant,No,Yes,Group,Less than 2,Yes,No,10 - 30,Heavy,Non-drinker,2,2,2
21 - 23,Female,Malaysian,Family,Urban,No,FET,Bachelor's,2,40 - 70 ,Very Good,0,7,3,0,No,Yes,Close to home,Medium,Medium,Less,Good,Good,No,MT3,Secondary,Secondary,Self-employed,Unemployed,No,Yes,Alone,2 - 5,No,No,10 - 30,Light,Non-drinker,2,2,2
21 - 23,Female,Malaysian,Family,Urban,No,FAC,Bachelor's,3,71 - 100,Very Good,0,2,3,3,No,Yes,Close to home,Medium,Medium,None,Good,Good,No,MT3,Higher,Higher,Healthcare,Legal,No,Yes,Alone,5 - 8,Yes,No,10 - 30,Non-gamer,Non-drinker,3,4,3
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FCM,Bachelor's,2,Less than 40,Very Good,0,6,1,0,Yes,No,Course preference,Medium,Small,Sometimes,Good,Good,No,MT3,Higher,Higher,Education,Dead,No,Yes,Alone,2 - 5,Yes,No,Less than 10,Non-gamer,Non-drinker,2,2,2
21 - 23,Female,Malaysian,Family,Urban,No,FCM,Bachelor's,4,71 - 100,Good,0,5,2,0,No,Yes,My mom recommended to me,Medium,Medium,None,Moderate,Good,No,MT3,Higher,Higher,Civil servant,Housewife,No,Yes,Group,2 - 5,No,No,30 - 60,Heavy,Non-drinker,4,3,3
21 - 23,Male,Malaysian,Friend or Roommate,Urban,No,FIST,Bachelor's,2,Less than 40,Good,0,4,3,1,No,Yes,University reputation,Large,Medium,Less,Moderate,Moderate,No,MT3,Primary,Secondary,Civil servant,Unemployed,No,Yes,Alone,2 - 5,Yes,No,10 - 30,Moderate,Less,4,4,2
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FOB,Bachelor's,Less than 1,Less than 40,Very Good,0,10,0,0,No,Yes,Close to home,Large,Medium,None,Moderate,Moderate,No,LE3,Secondary,Secondary,Self-employed,Self-employed,No,No,Alone,5 - 8,No,No,Less than 10,Light,Non-drinker,4,5,4
21 - 23,Male,Malaysian,Family,Urban,No,FCM,Bachelor's,2,More than 100,Good,0,4,3,3,No,No,Friend recommend ,Small,Medium,Less,Poor,Moderate,No,MT3,Higher,Higher,Self-employed,Education,No,Yes,Alone,Less than 2,No,Yes,More than 60,Light,Non-drinker,4,5,4
18 - 20,Female,Malaysian,Family,Urban,No,FOB,Diploma,2,40 - 70 ,Very Good,0,4,5,1,No,Yes,Close to home,Medium,Medium,Less,Moderate,Moderate,Yes,MT3,Primary,Primary,Self-employed,Unemployed,No,Yes,Alone,Less than 2,No,No,10 - 30,Moderate,Less,2,1,1
18 - 20,Female,Malaysian,Alone,Urban,No,FOB,Diploma,1,40 - 70 ,Very Good,0,4,4,1,No,Yes,Close to home,Small,Small,Less,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Self-employed,No,Yes,Group,Less than 2,No,No,Less than 10,Non-gamer,Non-drinker,3,2,2
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FOL,Bachelor's,1,Less than 40,Very Good,0,5,2,1,No,Yes,Course preference,Extra large,Large,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Retired,Housewife,Yes,Yes,Alone,More than 8,Yes,No,Less than 10,Light,Non-drinker,2,3,2
18 - 20,Female,Malaysian,Friend or Roommate,Urban,Yes,FOB,Foundation,Less than 1,Less than 40,Good,0,6,1,1,No,No,Course preference,Large,Large,None,Moderate,Moderate,No,MT3,Higher,Higher,Self-employed,Education,No,Yes,Alone,2 - 5,Yes,No,Less than 10,Light,Non-drinker,4,3,3
18 - 20,Female,Malaysian,Family,Urban,Yes,FCM,Diploma,2,71 - 100,Very Good,0,2,5,1,No,Yes,Course preference,Medium,Large,None,Moderate,Moderate,No,MT3,Higher,Higher,Civil servant,Civil servant,No,Yes,Alone,Less than 2,No,No,Less than 10,Moderate,Non-drinker,2,4,1
21 - 23,Male,Malaysian,Friend or Roommate,Urban,No,FOB,Bachelor's,2,71 - 100,Good,0,2,3,2,Yes,Yes,Family,Large,Large,Sometimes,Moderate,Moderate,No,MT3,Primary,Primary,Self-employed,Unemployed,Yes,Yes,Alone,2 - 5,Yes,No,Less than 10,Non-gamer,Less,3,4,4
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FOM,Diploma,2,40 - 70 ,Very Good,0,3,2,0,Yes,No,Course preference,Medium,Medium,Sometimes,Poor,Poor,No,MT3,Higher,Higher,Self-employed,Unemployed,Yes,No,Alone,Less than 2,No,No,10 - 30,Non-gamer,Non-drinker,2,1,1
21 - 23,Male,Malaysian,Alone,Urban,No,FIST,Bachelor's,3,More than 100,Very Good,0,8,4,0,Yes,Yes,Course preference,Extra large,Extra large,Often,Poor,Poor,Yes,MT3,Higher,Secondary,Retired,Civil servant,Yes,Yes,Alone,Less than 2,Yes,No,Less than 10,Heavy,Often,4,4,4
21 - 23,Female,Malaysian,Family,Urban,Yes,FCM,Diploma,1,40 - 70 ,Very Good,0,0,0,0,No,Yes,Course preference,Medium,Small,None,Moderate,Moderate,No,MT3,Higher,Secondary,Self-employed,Civil servant,Yes,Yes,Group,Less than 2,Yes,No,Less than 10,Non-gamer,Less,3,4,4
21 - 23,Female,Malaysian,Family,Urban,No,FCI,Bachelor's,3,71 - 100,Average,1 - 2,0,4,2,No,No,Course preference,Large,Large,None,Moderate,Moderate,No,MT3,Higher,Higher,Engineer ,Education,Yes,Yes,Alone,5 - 8,No,No,30 - 60,Non-gamer,Non-drinker,5,3,1
21 - 23,Female,Malaysian,Family,Urban,No,FOB,Bachelor's,1,Less than 40,Very Good,0,10,1,0,Yes,Yes,Course preference,Small,Medium,Less,Moderate,Good,No,MT3,Secondary,Higher,Self-employed,Finance and banking,No,No,Alone,2 - 5,Yes,No,10 - 30,Moderate,Non-drinker,4,2,2
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FOL,Bachelor's,2,40 - 70 ,Good,0,6,3,0,No,Yes,Course preference,Large,Medium,None,Moderate,Moderate,No,MT3,Early,Early,Self-employed,Unemployed,No,Yes,Alone,5 - 8,Yes,No,Less than 10,Non-gamer,Non-drinker,4,3,2
21 - 23,Female,Malaysian,Family,Urban,No,FCI,Bachelor's,2,40 - 70 ,Good,1 - 2,11,0,0,No,No,Course preference,Large,Medium,Sometimes,Moderate,Good,No,MT3,Higher,Higher,Finance and banking,Healthcare,No,Yes,Alone,Less than 2,No,No,10 - 30,Light,Non-drinker,4,3,3
21 - 23,Male,Malaysian,Alone,Urban,No,FOL,Bachelor's,3,71 - 100,Good,0,10,0,0,No,Yes,Course preference,Extra large,Large,Sometimes,Moderate,Moderate,No,MT3,Higher,Secondary,-,Unemployed,No,Yes,Alone,2 - 5,Yes,No,Less than 10,Non-gamer,Sometimes,3,3,3
18 - 20,Female,Malaysian,Family,Urban,No,FCI,Bachelor's,2,Less than 40,Very Good,0,5,4,0,Yes,No,Course preference,Large,Medium,Less,Moderate,Moderate,No,MT3,Higher,Higher,Unemployed,Unemployed,Yes,Yes,Alone,2 - 5,Yes,No,30 - 60,Heavy,Non-drinker,4,3,3
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FIST,Bachelor's,2,40 - 70 ,Very Good,0,8,1,0,Yes,No,Course preference,Extra large,Large,Less,Good,Moderate,No,MT3,Secondary,Secondary,Self-employed,Unemployed,Yes,Yes,Alone,2 - 5,Yes,No,Less than 10,Non-gamer,Non-drinker,3,3,4
18 - 20,Male,Malaysian,Alone,Urban,Yes,FIST,Bachelor's,2,40 - 70 ,Low,1 - 2,3,3,3,No,No,Course preference,Medium,Medium,Less,Moderate,Moderate,No,MT3,Higher,Higher,Unemployed,Education,No,No,Group,2 - 5,No,No,10 - 30,Moderate,Sometimes,3,3,3
21 - 23,Male,Malaysian,Friend or Roommate,Rural,No,FOB,Bachelor's,1,40 - 70 ,Average,0,1,2,3,No,Yes,Course preference,Medium,Small,None,Good,Good,No,LE3,Primary,Secondary,Self-employed,Finance and banking,Yes,Yes,Alone,Less than 2,No,Yes,Less than 10,Non-gamer,Less,2,2,2
21 - 23,Female,Malaysian,Friend or Roommate,Urban,Yes,FCI,Bachelor's,3,71 - 100,Very Good,0,10,1,0,No,Yes,Course preference,Large,Large,None,Moderate,Moderate,No,MT3,Higher,Secondary,Self-employed,Unemployed,No,Yes,Alone,Less than 2,Yes,No,Less than 10,Light,Non-drinker,4,4,3
21 - 23,Male,Malaysian,Friend or Roommate,Urban,No,FIST,Bachelor's,3,71 - 100,Good,1 - 2,4,3,1,No,Yes,Course preference,Large,Medium,Sometimes,Moderate,Moderate,No,MT3,Higher,Higher,Unemployed,manager,No,Yes,Alone,Less than 2,Yes,No,Less than 10,Moderate,Sometimes,4,4,4
18 - 20,Female,Malaysian,Family,Urban,No,FOB,Bachelor's,Less than 1,Less than 40,Very Good,0,2,0,3,No,No,Close to home,Large,Large,None,Good,Good,No,MT3,Secondary,Secondary,Self-employed,Unemployed,No,Yes,Group,2 - 5,No,No,10 - 30,Non-gamer,Non-drinker,5,4,4
18 - 20,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,1,40 - 70 ,Very Good,0,3,7,0,No,No,Close to home,Extra large,Extra large,None,Good,Good,No,MT3,Higher,Higher,Finance and banking,Education,No,Yes,Group,2 - 5,Yes,No,10 - 30,Light,Non-drinker,2,2,2
21 - 23,Female,Malaysian,Friend or Roommate,Rural,No,FOB,Bachelor's,2,40 - 70 ,Very Good,0,6,1,3,No,Yes,Close to home,Medium,Medium,None,Good,Good,No,MT3,Primary,Secondary,Self-employed,Unemployed,No,Yes,Alone,2 - 5,No,No,Less than 10,Non-gamer,Non-drinker,4,4,5
27 or above,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,More than 4,More than 100,Good,3 - 4,1,5,2,No,Yes,Course preference,Extra large,Extra large,Less,Good,Good,No,MT3,Higher,Higher,Healthcare,housewife,Yes,Yes,Alone,2 - 5,No,Yes,30 - 60,Moderate,Non-drinker,4,4,3
24 - 26,Male,Malaysian,Family,Urban,Yes,FOM,Bachelor's,2,Less than 40,Good,1 - 2,3,3,3,No,Yes,Course preference,Small,Small,Less,Moderate,Poor,Yes,MT3,Secondary,Secondary,Self-employed,Unemployed,Yes,Yes,Group,2 - 5,No,Yes,More than 60,Non-gamer,Less,2,3,2
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FOL,Bachelor's,Less than 1,Less than 40,Good,1 - 2,7,2,0,No,Yes,Course preference,Medium,Medium,Sometimes,Good,Moderate,Yes,LE3,Secondary,Secondary,Self-employed,Education,No,Yes,Alone,2 - 5,Yes,No,10 - 30,Non-gamer,Non-drinker,3,3,4
18 - 20,Male,Malaysian,Family,Urban,No,FCI,Foundation,1,40 - 70 ,Average,1 - 2,3,1,2,No,No,Close to home,Large,Medium,Less,Good,Good,No,MT3,Primary,Secondary,Self-employed,Finance and banking,No,Yes,Group,Less than 2,Yes,No,Less than 10,Moderate,Non-drinker,5,3,5
21 - 23,Female,Malaysian,Friend or Roommate,Urban,Yes,FCI,Bachelor's,3,More than 100,Average,3 - 4,5,2,2,No,Yes,Course preference,Large,Medium,Sometimes,Good,Good,No,LE3,Higher,Higher,Unsure,Finance and banking,No,Yes,Alone,2 - 5,Yes,Yes,Less than 10,Non-gamer,Non-drinker,4,2,2
21 - 23,Female,Malaysian,Family,Urban,Yes,FIST,Bachelor's,3,More than 100,Very Good,0,2,2,3,Yes,No,Close to home,Medium,Medium,Less,Good,Good,No,MT3,Secondary,Higher,Self-employed,Finance and banking,No,Yes,Alone,Less than 2,No,Yes,10 - 30,Light,Less,3,4,4
18 - 20,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,3,Less than 40,Good,0,3,2,4,No,No,Course preference,Medium,Medium,Less,Moderate,Moderate,No,MT3,Higher,Higher,Businessman,Businesswoman,Yes,Yes,Alone,Less than 2,No,No,30 - 60,Heavy,Non-drinker,4,5,5
21 - 23,Female,Malaysian,Family,Urban,No,FOB,Bachelor's,1,40 - 70 ,Very Good,0,0,0,0,No,No,Course preference,Medium,Small,Less,Moderate,Poor,Yes,MT3,Secondary,Secondary,Self-employed,Unemployed,No,Yes,Alone,Less than 2,Yes,Yes,30 - 60,Light,Less,2,3,3
21 - 23,Female,Malaysian,Family,Urban,No,FIST,Bachelor's,3,40 - 70 ,Good,1 - 2,5,3,1,Yes,Yes,Close to home,Large,Large,Less,Moderate,Moderate,No,MT3,Higher,Higher,Civil servant,Civil servant,No,Yes,Group,Less than 2,No,No,10 - 30,Heavy,Non-drinker,2,1,1
21 - 23,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,2,Less than 40,Very Good,0,7,2,0,Yes,Yes,Course preference,Medium,Medium,Sometimes,Moderate,Moderate,No,LE3,Secondary,Higher,Civil servant,Civil servant,Yes,Yes,Alone,Less than 2,No,No,More than 60,Moderate,Less,3,4,4
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FOL,Bachelor's,4,40 - 70 ,Good,0,5,2,1,Yes,No,Course preference,Extra large,Medium,Sometimes,Moderate,Good,No,MT3,Higher,Higher,Education,Unemployed,No,Yes,Group,2 - 5,Yes,No,Less than 10,Moderate,Non-drinker,2,4,5
18 - 20,Female,Malaysian,Friend or Roommate,Urban,Yes,FOL,Foundation,1,71 - 100,Average,3 - 4,4,3,0,No,No,Family ,Medium,Small,Sometimes,Poor,Poor,Yes,MT3,Early,Early,Engineer ,Clerk ,No,No,Alone,Less than 2,Yes,No,Less than 10,Light,Non-drinker,2,2,1
21 - 23,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,3,71 - 100,Very Good,0,1,2,3,No,No,Close to home,Small,Extra large,Less,Poor,Moderate,No,MT3,Higher,Higher,Self-employed,Finance and banking,No,Yes,Group,Less than 2,No,No,30 - 60,Heavy,Less,4,1,3
21 - 23,Male,Malaysian,Friend or Roommate,Urban,Yes,FIST,Diploma,4,40 - 70 ,Good,0,0,1,4,No,Yes,Course preference,Medium,Medium,Less,Moderate,Moderate,Yes,MT3,Early,Early,Unemployed,Unemployed,No,No,Group,2 - 5,Yes,No,30 - 60,Heavy,Less,3,3,3
21 - 23,Female,Malaysian,Friend or Roommate,Urban,No,FOM,Bachelor's,2,More than 100,Very Good,0,9,0,0,Yes,No,Course preference,Medium,Medium,Less,Moderate,Good,Yes,MT3,Higher,Higher,Self-employed,Finance and banking,No,Yes,Alone,2 - 5,Yes,No,10 - 30,Non-gamer,Non-drinker,2,4,3
18 - 20,Female,Malaysian,Family,Urban,No,FOB,Bachelor's,2,40 - 70 ,Very Good,1 - 2,1,5,1,No,Yes,Close to home,Medium,Medium,None,Moderate,Good,No,MT3,Secondary,Higher,Unemployed,Education,No,No,Alone,2 - 5,No,Yes,Less than 10,Non-gamer,Non-drinker,3,3,3
21 - 23,Male,Malaysian,Friend or Roommate,Urban,Yes,FIST,Bachelor's,2,71 - 100,Very Good,0,3,5,2,No,Yes,Course preference,Medium,Medium,None,Moderate,Moderate,No,MT3,Secondary,Primary,Self-employed,Unemployed,No,No,Alone,2 - 5,No,No,Less than 10,Moderate,Less,4,4,2
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FCM,Diploma,2,71 - 100,Very Good,0,6,3,0,Yes,No,Course preference,Large,Extra large,Less,Moderate,Moderate,No,MT3,Higher,Higher,account manager,senior executive,No,Yes,Alone,Less than 2,Yes,Yes,Less than 10,Non-gamer,Non-drinker,3,4,4
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FAC,Bachelor's,Less than 1,Less than 40,Very Good,0,6,4,2,No,Yes,Course preference,Medium,Medium,Less,Good,Good,No,MT3,Higher,Higher,Retired Manager,Retired teacher,No,Yes,Alone,Less than 2,Yes,No,10 - 30,Non-gamer,Less,2,2,3
18 - 20,Female,Malaysian,Friend or Roommate,Urban,No,FCM,Diploma,1,40 - 70 ,Good,1 - 2,2,2,3,No,Yes,Course preference,Medium,Large,Less,Moderate,Good,No,MT3,Higher,Higher,Education,Education,No,No,Alone,2 - 5,No,No,10 - 30,Moderate,Less,3,2,3
18 - 20,Male,Malaysian,Friend or Roommate,Urban,Yes,FCM,Foundation,Less than 1,40 - 70 ,Good,0,4,6,0,No,Yes,Course preference,Medium,Medium,None,Good,Moderate,No,MT3,Secondary,Secondary,Self-employed,Unemployed,No,No,Alone,2 - 5,No,No,10 - 30,Heavy,Non-drinker,3,2,2
18 - 20,Male,Malaysian,Friend or Roommate,Urban,No,FIST,Diploma,2,More than 100,Very Good,0,6,3,0,No,Yes,Course preference,Medium,Medium,Less,Good,Good,No,MT3,Higher,Secondary,Civil servant,Self-employed,No,Yes,Alone,Less than 2,No,No,10 - 30,Light,Non-drinker,4,2,3
18 - 20,Female,Malaysian,Friend or Roommate,Rural,No,FOL,Bachelor's,1,40 - 70 ,Good,0,8,2,1,No,Yes,Course preference,Large,Medium,Less,Moderate,Moderate,No,MT3,Secondary,Higher,Finance and banking,Unemployed,No,Yes,Group,2 - 5,Yes,No,Less than 10,Moderate,Non-drinker,3,3,4
18 - 20,Female,Malaysian,Family,Urban,No,FCM,Foundation,Less than 1,Less than 40,Very Good,0,5,3,1,No,No,Close to home,Medium,Medium,None,Good,Good,No,MT3,Higher,Higher,Finance and banking,Unemployed,No,Yes,Alone,Less than 2,No,No,10 - 30,Light,Less,3,2,3
21 - 23,Male,Malaysian,Family,Urban,No,FCI,Bachelor's,2,71 - 100,Very Good,0,6,3,0,Yes,No,Course preference,Large,Large,Sometimes,Good,Good,Yes,MT3,Higher,Higher,Retiree,Housewife,No,Yes,Alone,Less than 2,Yes,No,10 - 30,Heavy,Non-drinker,5,1,1
18 - 20,Female,Malaysian,Family,Urban,Yes,FIST,Bachelor's,Less than 1,Less than 40,Good,0,2,5,2,No,Yes,Close to home,Large,Medium,Less,Good,Good,No,MT3,Primary,Primary,Self-employed,Self-employed,No,Yes,Alone,Less than 2,Yes,No,30 - 60,Moderate,Less,3,4,2
21 - 23,Male,Malaysian,Friend or Roommate,Urban,Yes,FET,Bachelor's,4,More than 100,Good,0,1,4,2,No,No,Close to home,Small,Small,None,Good,Good,No,MT3,Secondary,Secondary,Salesman,Clerk,No,Yes,Alone,5 - 8,Yes,No,Less than 10,Non-gamer,Sometimes,5,5,5
18 - 20,Male,Malaysian,Friend or Roommate,Urban,No,FIST,Diploma,Less than 1,Less than 40,Good,0,3,4,3,No,Yes,Course preference,Medium,Medium,None,Moderate,Moderate,No,MT3,Secondary,Secondary,Self-employed,Unemployed,No,Yes,Alone,Less than 2,No,No,Less than 10,Light,Sometimes,3,2,3
